data ; tMin ; tMin Estimada ; tMed ; tMed Estimada ; tMax ; tMax Estimada ; precipitacao ; precipitacao Estimada ; estiagem* ; estiagemAgricola* ; urMin ; urMin Estimada ; urMax ; urMax Estimada ; evapotranspiracaoPotencial ; radiacaoSolar ; velocidadeVento ; direcaoVento ; horarioVento ; pontoOrvalhoMinimo ; pontoOrvalhoMaximo ; pressaoAtmMinima ; pressaoAtmMaxima ; evapotranspiracaoReal* ; disponibilidadeAguaSolo*
01/10/2020;21,0;sim;29,0;sim;37,0;sim;0,0;sim;2;45;;não;;não;;;;;;;;;;;
30/09/2020;20,0;sim;28,5;sim;37,0;sim;0,0;sim;1;44;;não;;não;;;;;;;;;;;
29/09/2020;19,0;sim;28,0;sim;37,0;sim;2,07;sim;0;43;;não;;não;;;;;;;;;;;
28/09/2020;19,0;sim;27,5;sim;36,0;sim;3,26;sim;0;42;;não;;não;;;;;;;;;;;
27/09/2020;22,0;sim;29,0;sim;36,0;sim;0,0;sim;5;41;;não;;não;;;;;;;;;;;
26/09/2020;20,0;sim;27,5;sim;35,0;sim;0,0;sim;4;40;;não;;não;;;;;;;;;;;
25/09/2020;18,0;sim;24,5;sim;31,0;sim;0,0;sim;3;39;;não;;não;;;;;;;;;;;
24/09/2020;14,0;sim;22,0;sim;30,0;sim;0,0;sim;2;38;;não;;não;;;;;;;;;;;
23/09/2020;16,0;sim;20,0;sim;24,0;sim;0,0;sim;1;37;;não;;não;;;;;;;;;;;
22/09/2020;17,0;sim;19,0;sim;21,0;sim;9,2;sim;0;36;;não;;não;;;;;;;;;;;
21/09/2020;18,0;sim;20,5;sim;23,0;sim;0,03;sim;1;35;;não;;não;;;;;;;;;;;
20/09/2020;18,0;sim;22,5;sim;27,0;sim;5,21;sim;0;34;;não;;não;;;;;;;;;;;
19/09/2020;19,0;sim;27,0;sim;35,0;sim;0,04;sim;29;33;;não;;não;;;;;;;;;;;
18/09/2020;18,0;sim;27,0;sim;36,0;sim;0,05;sim;28;32;;não;;não;;;;;;;;;;;
17/09/2020;18,0;sim;26,0;sim;34,0;sim;0,0;sim;27;31;;não;;não;;;;;;;;;;;
16/09/2020;16,0;sim;25,0;sim;34,0;sim;0,0;sim;26;30;;não;;não;;;;;;;;;;;
15/09/2020;19,0;sim;25,5;sim;32,0;sim;0,0;sim;25;29;;não;;não;;;;;;;;;;;
